NACA 0012		NACA 2412		NACA 4412					
0.52966	0.05097	0.53836	0.0693	0.5453	0.08752				
0.51636	0.05188	0.52525	0.07041	0.53234	0.08884				
0.50307	0.05275	0.51216	0.07146	0.51938	0.09009				
0.4898	0.05357	0.49907	0.07245	0.50642	0.09127				
0.47653	0.05436	0.486	0.07339	0.49348	0.09238				
0.46329	0.0551	0.47294	0.07427	0.48055	0.0934				
0.45006	0.0558	0.4599	0.07509	0.46763	0.09436				
0.43684	0.05646	0.44687	0.07584	0.45473	0.09523				
0.42365	0.05707	0.43387	0.07654	0.44185	0.09602				
0.41048	0.05762	0.4209	0.07716	0.42901	0.09673				
0.39732	0.05813	0.40798	0.07772	0.41622	0.09736				
0.3842	0.05858	0.39512	0.0782	0.40351	0.0979				
0.37109	0.05897	0.38234	0.0786	0.39093	0.09833				
0.35802	0.05931	0.36961	0.0789	0.37844	0.09864				
0.34497	0.05958	0.35692	0.0791	0.36603	0.09882				
0.33196	0.05979	0.34427	0.07921	0.35366	0.09887				
0.31898	0.05994	0.33165	0.07921	0.34133	0.09879				
0.30603	0.06001	0.31907	0.07912	0.32904	0.09857				
0.29313	0.06001	0.30652	0.07891	0.31679	0.09822				
0.28027	0.05993	0.29402	0.07861	0.30457	0.09774				
0.26746	0.05977	0.28155	0.07819	0.29239	0.09711				
0.25471	0.05952	0.26913	0.07765	0.28026	0.09634				
0.24201	0.05919	0.25677	0.07701	0.26817	0.09543				
0.22938	0.05877	0.24446	0.07624	0.25613	0.09438				
0.21683	0.05824	0.23221	0.07535	0.24415	0.09318				
0.20435	0.05762	0.22003	0.07434	0.23223	0.09183				
0.19198	0.05689	0.20793	0.0732	0.22037	0.09034				
0.17971	0.05605	0.19591	0.07193	0.20859	0.08869				
0.16758	0.05509	0.18399	0.07052	0.1969	0.08688				
0.1556	0.05401	0.17219	0.06898	0.18529	0.08492				
0.1438	0.0528	0.16052	0.0673	0.1738	0.0828				
0.13223	0.05147	0.149	0.06547	0.16241	0.08052				
0.12093	0.05001	0.13767	0.06351	0.15117	0.07809				
0.10998	0.04843	0.12655	0.06141	0.14008	0.0755				
0.09945	0.04674	0.11571	0.05917	0.12919	0.07276				
0.08944	0.04494	0.10519	0.05682	0.11851	0.06987				
0.08002	0.04308	0.09507	0.05435	0.1081	0.06684				
0.07128	0.04116	0.08544	0.05181	0.09802	0.06369				
0.06327	0.03922	0.07637	0.04921	0.08834	0.06045				
0.05601	0.03729	0.06793	0.04659	0.07913	0.05715				
0.04949	0.03539	0.06019	0.04399	0.07047	0.05382				
0.04366	0.03353	0.05316	0.04145	0.06243	0.05052				
0.03846	0.03173	0.04684	0.03898	0.05507	0.04728				
0.03382	0.02997	0.04118	0.0366	0.0484	0.04415				
0.02969	0.02827	0.03615	0.03432	0.04242	0.04115				
0.02598	0.02661	0.03166	0.03214	0.03709	0.0383				
0.02266	0.025	0.02767	0.03005	0.03236	0.03559				
0.01968	0.02342	0.02411	0.02806	0.02817	0.03304				
0.01698	0.02187	0.02093	0.02613	0.02445	0.03062				
0.01455	0.02034	0.01807	0.02428	0.02114	0.02833				
0.01235	0.01883	0.01551	0.02249	0.0182	0.02615				
0.01037	0.01733	0.01321	0.02074	0.01558	0.02407				
0.00858	0.01584	0.01115	0.01904	0.01325	0.02207				
0.00698	0.01434	0.00929	0.01737	0.01116	0.02015				
0.00555	0.01284	0.00763	0.01572	0.00929	0.01829				
0.00429	0.01134	0.00614	0.0141	0.00763	0.01648				
0.00319	0.00982	0.00483	0.01249	0.00616	0.01473				
0.00226	0.0083	0.00369	0.0109	0.00486	0.01301				
0.00149	0.00677	0.0027	0.00932	0.00372	0.01132				
0.00089	0.00524	0.00187	0.00774	0.00274	0.00966				
0.00044	0.00371	0.00119	0.00618	0.00191	0.00803				
0.00015	0.0022	0.00067	0.00462	0.00124	0.00642				
0.00002	0.00072	0.0003	0.00309	0.00071	0.00484				
0.00002	-0.00073	0.00008	0.00159	0.00033	0.00329				
0.00015	-0.0022	0	0.00012	0.0001	0.00176				
0.00044	-0.00371	0.00006	-0.00133	0	0.00028				
0.00089	-0.00524	0.00026	-0.00282	0.00004	-0.00117				
0.00149	-0.00677	0.00062	-0.00432	0.00023	-0.00266				
0.00226	-0.0083	0.00115	-0.00583	0.00059	-0.00416				
0.00319	-0.00982	0.00184	-0.00733	0.00112	-0.00565				
0.00429	-0.01134	0.00271	-0.0088	0.00183	-0.00712				
0.00555	-0.01284	0.00376	-0.01026	0.00273	-0.00855				
0.00698	-0.01434	0.00497	-0.01168	0.00381	-0.00994				
0.00858	-0.01584	0.00635	-0.01308	0.00507	-0.01128				
0.01037	-0.01733	0.00791	-0.01445	0.0065	-0.01257				
0.01235	-0.01883	0.00964	-0.01579	0.0081	-0.01381				
0.01455	-0.02034	0.01156	-0.01711	0.00989	-0.01499				
0.01698	-0.02187	0.01367	-0.01841	0.01186	-0.01613				
0.01968	-0.02342	0.01601	-0.01971	0.01402	-0.01724				
0.02266	-0.025	0.01858	-0.02099	0.01639	-0.0183				
0.02598	-0.02661	0.02141	-0.02227	0.019	-0.01933				
0.02969	-0.02827	0.02455	-0.02355	0.02187	-0.02034				
0.03382	-0.02997	0.02803	-0.02484	0.02503	-0.02131				
0.03846	-0.03173	0.0319	-0.02613	0.02853	-0.02226				
0.04366	-0.03353	0.03622	-0.02744	0.03242	-0.02319				
0.04949	-0.03539	0.04105	-0.02875	0.03676	-0.02408				
0.05601	-0.03729	0.04648	-0.03007	0.04162	-0.02495				
0.06327	-0.03922	0.05257	-0.0314	0.04709	-0.02578				
0.07128	-0.04116	0.0594	-0.03272	0.05326	-0.02657				
0.08002	-0.04308	0.067	-0.03401	0.0602	-0.02729				
0.08944	-0.04494	0.0754	-0.03526	0.06796	-0.02794				
0.09945	-0.04674	0.08458	-0.03644	0.07659	-0.0285				
0.10998	-0.04843	0.09446	-0.03754	0.08606	-0.02894				
0.12093	-0.05001	0.10497	-0.03853	0.0963	-0.02925				
0.13223	-0.05147	0.11601	-0.0394	0.10723	-0.02943				
0.1438	-0.0528	0.12747	-0.04016	0.11871	-0.02948				
0.1556	-0.05401	0.13927	-0.04079	0.13065	-0.02941				
0.16758	-0.05509	0.15135	-0.04132	0.14295	-0.02923				
0.17971	-0.05605	0.16365	-0.04173	0.15553	-0.02894				
0.19198	-0.05689	0.17612	-0.04204	0.16833	-0.02857				
0.20435	-0.05762	0.18874	-0.04226	0.18132	-0.02812				
0.21683	-0.05824	0.20149	-0.04239	0.19445	-0.02761				
0.22938	-0.05877	0.21434	-0.04244	0.20771	-0.02704				
0.24201	-0.05919	0.22729	-0.04242	0.22107	-0.02644				
0.25471	-0.05952	0.24031	-0.04233	0.23453	-0.0258				
0.26746	-0.05977	0.25341	-0.04218	0.24806	-0.02513				
0.28027	-0.05993	0.26657	-0.04198	0.26165	-0.02445				
0.29313	-0.06001	0.27979	-0.04173	0.27528	-0.02376				
0.30603	-0.06001	0.29306	-0.04144	0.28893	-0.02307				
0.31898	-0.05994	0.30638	-0.0411	0.30256	-0.02239				
0.33196	-0.05979	0.31974	-0.04074	0.31617	-0.02172				
0.34497	-0.05958	0.33314	-0.04034	0.32975	-0.02106				
0.35802	-0.05931	0.34657	-0.03991	0.34329	-0.02042				
0.37109	-0.05897	0.36003	-0.03946	0.35682	-0.0198				
0.3842	-0.05858	0.37351	-0.03899	0.37032	-0.01922				
0.39733	-0.05813	0.387	-0.03851	0.38382	-0.01866				
0.41048	-0.05762	0.40048	-0.03801	0.39733	-0.01813				
0.42365	-0.05707	0.41391	-0.03749	0.4109	-0.01762				
0.43684	-0.05646	0.42733	-0.03694	0.42451	-0.01709				
0.45006	-0.0558	0.44075	-0.03636	0.43815	-0.01656				
0.46329	-0.0551	0.45418	-0.03575	0.45181	-0.01601				
0.47653	-0.05436	0.46762	-0.03512	0.4655	-0.01546				
0.4898	-0.05357	0.48107	-0.03446	0.4792	-0.0149				
0.50307	-0.05275	0.49454	-0.03378	0.49291	-0.01434				
0.51636	-0.05188	0.50802	-0.03308	0.50663	-0.01378				
0.52966	-0.05097	0.52152	-0.03235	0.52034	-0.01322				
0.54298	-0.05003	0.53503	-0.03161	0.53404	-0.01267				
0.5563	-0.04906	0.54855	-0.03086	0.54774	-0.01211				
0.56963	-0.04805	0.56209	-0.03008	0.56142	-0.01157				
0.58297	-0.04701	0.57564	-0.0293	0.57509	-0.01103				
0.59632	-0.04594	0.58919	-0.0285	0.58875	-0.01051				
0.60967	-0.04483	0.60276	-0.02769	0.6024	-0.00999				
0.62303	-0.0437	0.61633	-0.02687	0.61604	-0.00948				
0.6364	-0.04254	0.62992	-0.02604	0.62967	-0.00899				
0.64977	-0.04135	0.64351	-0.0252	0.6433	-0.0085				
0.66315	-0.04013	0.6571	-0.02435	0.65692	-0.00803				
0.67653	-0.03888	0.67071	-0.0235	0.67053	-0.00758				
0.68991	-0.03761	0.68431	-0.02264	0.68414	-0.00713				
0.70329	-0.03632	0.69793	-0.02177	0.69774	-0.00671				
0.71668	-0.035	0.71154	-0.0209	0.71134	-0.0063				
0.73006	-0.03365	0.72516	-0.02002	0.72494	-0.0059				
0.74345	-0.03228	0.73878	-0.01914	0.73854	-0.00552				
0.75683	-0.03089	0.75241	-0.01825	0.75213	-0.00516				
0.77022	-0.02947	0.76603	-0.01736	0.76572	-0.00481				
0.7836	-0.02803	0.77966	-0.01646	0.77931	-0.00448				
0.79698	-0.02657	0.79328	-0.01557	0.7929	-0.00417				
0.81036	-0.02508	0.80691	-0.01466	0.80649	-0.00387				
0.82373	-0.02357	0.82053	-0.01375	0.82009	-0.00359				
0.83709	-0.02203	0.83414	-0.01284	0.83368	-0.00332				
0.85045	-0.02047	0.84775	-0.01193	0.84727	-0.00307				
0.86379	-0.01889	0.86135	-0.01101	0.86085	-0.00284				
0.87711	-0.01729	0.87494	-0.01008	0.87443	-0.00262				
0.8904	-0.01567	0.88849	-0.00916	0.88799	-0.00242				
0.90364	-0.01402	0.90199	-0.00823	0.90151	-0.00223				
0.91678	-0.01237	0.9154	-0.0073	0.91495	-0.00206				
0.92976	-0.01071	0.92865	-0.00638	0.92825	-0.00191				
0.94248	-0.00905	0.94163	-0.00546	0.94129	-0.00176				
0.95476	-0.00744	0.95415	-0.00458	0.9539	-0.00164				
0.96637	-0.00588	0.96598	-0.00373	0.96581	-0.00153				
0.97707	-0.00443	0.97685	-0.00295	0.97676	-0.00144				
0.98666	-0.00312	0.98656	-0.00224	0.98653	-0.00136				
0.99505	-0.00195	0.99502	-0.00163	0.99502	-0.0013				
1	-0.00126	1	-0.00126	1	-0.00126				
